,dataset,model,size,dropout,opt,lr,accuracy,f1_weighted
183,subesco,vggish,1024,0.2,adam,1e-05,0.5292028413575375,0.5238670731563999
184,subesco,vggish,2048,0.0,adam,1e-05,0.5295974743488555,0.5244630376273313
185,subesco,vggish,2048,0.5,adam,0.0001,0.5252565114443567,0.5180804097695549
186,subesco,vggish,2048,0.0,adam,0.001,0.5209155485398579,0.5108372601879178
187,subesco,vggish,2048,0.2,adam,0.0001,0.5138121546961326,0.508404544541008
188,subesco,vggish,1024,0.2,adam,0.0001,0.5181531176006314,0.507226292238882
189,subesco,vggish,1024,0.0,adamax,1e-05,0.5185477505919495,0.5103612913383712
190,subesco,yamnet,4096,0.5,adamax,0.001,0.39769717904432933,0.37647830308430696
191,subesco,yamnet,2048,0.0,adamax,0.0001,0.38652849740932643,0.37934270184267566
192,subesco,yamnet,4096,0.5,adamax,1e-05,0.40023028209556705,0.39075548211327693
193,subesco,yamnet,4096,0.2,adamax,0.001,0.4035693724812896,0.3881856568153885
194,subesco,yamnet,4096,0.2,adam,0.0001,0.3675302245250432,0.3171100624193782
195,subesco,yamnet,2048,0.0,adam,0.0001,0.39815774323546343,0.37204238505284337
196,subesco,yamnet,4096,0.0,adam,0.0001,0.3911341393206678,0.37684301283585253
197,subesco,yamnet,4096,0.0,adamax,0.0001,0.3892918825561313,0.38064999238841385
198,subesco,yamnet,2048,0.2,adamax,0.001,0.3957397812320092,0.3729645183813596
199,subesco,yamnet,4096,0.5,adamax,1e-05,0.39424294761082324,0.381915836227638
200,subesco,yamnet,4096,0.5,adam,0.001,0.38698906160046054,0.37020443375779516
201,subesco,yamnet,2048,0.5,adam,0.001,0.3845710995970063,0.36296786411793824
202,subesco,yamnet,4096,0.5,adamax,0.001,0.3884858952216465,0.3600749369738353
203,subesco,yamnet,4096,0.0,adam,0.001,0.3807714450201497,0.3506170204217659
204,subesco,yamnet,2048,0.5,adamax,0.0001,0.38837075417386296,0.3664881734193101
205,subesco,yamnet,4096,0.0,adamax,0.0001,0.3797351755900979,0.37716467344066723
206,subesco,yamnet,2048,0.2,adam,0.001,0.37777777777777777,0.37032073204819094
207,subesco,yamnet,4096,0.2,adam,0.0001,0.38986758779504893,0.36519415996110943
208,bser,vggish,2048,0.0,adam,1e-05,0.6504559270516718,0.6484610218309481
209,bser,vggish,2048,0.5,adam,1e-05,0.6504559270516718,0.6482073431015919
210,bser,vggish,1024,0.0,adam,0.0001,0.6139817629179332,0.611085418699983
211,bser,vggish,2048,0.2,adam,0.0001,0.6534954407294833,0.6536824486633315
212,bser,vggish,2048,0.0,adam,0.0001,0.6474164133738601,0.651498590789371
213,bser,vggish,2048,0.5,adam,1e-05,0.6291793313069909,0.627267190202815
214,bser,vggish,512,0.0,adamax,0.001,0.5957446808510638,0.5933417702727704
215,bser,vggish,512,0.2,adam,1e-05,0.6443768996960486,0.6444347147741784
216,bser,vggish,2048,0.2,adamax,0.0001,0.6382978723404256,0.6374467191570964
217,bser,vggish,1024,0.5,adam,1e-05,0.6291793313069909,0.6291213750958045
218,bser,vggish,2048,0.2,adam,1e-05,0.6443768996960486,0.6462180230597845
219,bser,vggish,1024,0.0,adamax,0.001,0.5957446808510638,0.5934735538227145
220,bser,vggish,2048,0.5,adamax,1e-05,0.6231003039513677,0.621806727324888
221,bser,vggish,2048,0.2,adamax,0.001,0.6413373860182371,0.6363445928461365
222,bser,vggish,1024,0.5,adamax,0.0001,0.6534954407294833,0.6512501594552175
223,bser,vggish,1024,0.2,adam,1e-05,0.6504559270516718,0.6489596885126337
224,bser,vggish,512,0.0,adam,1e-05,0.6109422492401215,0.6110123255033579
225,bser,vggish,1024,0.2,adamax,1e-05,0.6261398176291794,0.6259962239529531
226,bser,vggish,512,0.5,adam,0.001,0.5775075987841946,0.5709638962376203
227,bser,vggish,512,0.0,adamax,0.001,0.6534954407294833,0.6373489890045592
228,bser,vggish,2048,0.0,adam,0.001,0.5531914893617021,0.5561798680857606
229,bser,vggish,512,0.5,adam,0.0001,0.6322188449848024,0.6310532364877955
230,bser,yamnet,2048,0.5,adam,0.0001,0.4646766169154229,0.4470938060175499
231,bser,yamnet,4096,0.5,adamax,1e-05,0.4736318407960199,0.467806503232639
232,bser,yamnet,4096,0.5,adamax,0.001,0.41492537313432837,0.39014585668216806
233,bser,yamnet,2048,0.2,adam,0.001,0.4368159203980099,0.4028799910225822
234,bser,yamnet,2048,0.5,adamax,0.001,0.4507462686567164,0.4302298257807052
235,bser,yamnet,4096,0.2,adam,0.001,0.42786069651741293,0.3767867398081008
236,bser,yamnet,2048,0.2,adamax,1e-05,0.481592039800995,0.47775690726540115
237,bser,yamnet,2048,0.5,adamax,0.0001,0.48059701492537316,0.47867571088533395
238,bser,yamnet,2048,0.0,adam,0.001,0.42786069651741293,0.3957108875402926
239,bser,yamnet,4096,0.5,adamax,0.001,0.45671641791044776,0.4452585320304203
240,bser,yamnet,4096,0.0,adam,0.0001,0.4786069651741294,0.4710173192921671
241,bser,yamnet,2048,0.5,adamax,0.0001,0.4577114427860697,0.4558951741606138
242,bser,yamnet,2048,0.0,adamax,1e-05,0.48656716417910445,0.48258343214411104
243,bser,yamnet,4096,0.0,adamax,1e-05,0.48855721393034823,0.4848161245245735
244,bser,yamnet,4096,0.0,adam,0.001,0.44477611940298506,0.4191980609853796
245,bser,yamnet,4096,0.2,adamax,1e-05,0.48756218905472637,0.4800578900575042
246,bser,yamnet,4096,0.0,adam,0.001,0.47960199004975124,0.4684855665310604
247,bser,yamnet,4096,0.2,adam,0.0001,0.4527363184079602,0.4223812900154454
248,all_en,vggish,2048,0.5,adam,0.001,0.48223590715300807,0.471869462090057
249,all_en,vggish,512,0.2,adamax,1e-05,0.490525817148271,0.48232653119913343
250,all_en,vggish,1024,0.5,adamax,0.001,0.5002368545712932,0.4958862261229433
251,all_en,vggish,512,0.2,adam,0.001,0.49147323543344384,0.4828195830711787
252,all_en,vggish,2048,0.5,adam,1e-05,0.5059213642823307,0.5010552559438828
253,all_en,vggish,1024,0.0,adam,0.001,0.4777356702984368,0.46681785486426836
254,all_en,vggish,2048,0.5,adamax,0.0001,0.5040265277119849,0.4950445867844077
255,all_en,vggish,512,0.5,adamax,0.0001,0.5023685457129322,0.5028160213578617
256,all_en,vggish,512,0.5,adam,0.0001,0.4973945997157745,0.49316545946035745
257,all_en,vggish,2048,0.2,adam,0.001,0.4848413074372335,0.474128381061972
258,all_en,vggish,2048,0.5,adamax,0.001,0.48957839886309806,0.4862122750402022
259,all_en,vggish,2048,0.2,adamax,1e-05,0.4966840360018948,0.4894644509363574
260,all_en,vggish,2048,0.0,adam,1e-05,0.4981051634296542,0.495256869299192
261,all_en,vggish,512,0.5,adam,1e-05,0.4888678351492184,0.48524172435827756
262,all_en,vggish,1024,0.2,adamax,1e-05,0.49313121743249644,0.4849404116279855
263,all_en,vggish,2048,0.5,adamax,1e-05,0.4876835622927522,0.4786734547219067
264,all_en,vggish,2048,0.5,adam,0.0001,0.49407863571766936,0.4881030325718251
265,all_en,vggish,512,0.5,adamax,1e-05,0.48247276172430126,0.4722431337370046
266,all_en,vggish,512,0.2,adamax,0.0001,0.4981051634296542,0.4920395725917549
267,all_en,vggish,2048,0.2,adam,0.0001,0.49028896257697774,0.4783151807494138
268,all_en,vggish,2048,0.0,adam,0.001,0.5,0.48412282487243913
269,all_en,vggish,2048,0.5,adamax,0.0001,0.502131691141639,0.4943483003459153
270,all_en,yamnet,4096,0.2,adam,0.0001,0.4113021087062426,0.4003611037053382
271,all_en,yamnet,4096,0.2,adam,1e-05,0.41137170297167513,0.4044646426789146
272,all_en,yamnet,2048,0.0,adam,0.0001,0.3968265014962767,0.38015166175792775
273,all_en,yamnet,2048,0.2,adamax,0.0001,0.4065696986568307,0.40128330553312247
274,all_en,yamnet,4096,0.2,adamax,0.0001,0.4070568585148584,0.400334467877816
275,all_en,yamnet,4096,0.5,adam,0.001,0.3996798663790104,0.37324713278300403
276,all_en,yamnet,2048,0.0,adam,0.001,0.4098406291321595,0.40415859591408476
277,all_en,yamnet,4096,0.0,adam,0.0001,0.40573456747164033,0.39589715044187224
278,all_en,yamnet,2048,0.0,adamax,0.0001,0.4103277889901872,0.40270593389708215
279,all_en,yamnet,4096,0.0,adam,0.001,0.41533857610132924,0.4011567706183173
280,all_en,yamnet,4096,0.0,adamax,0.0001,0.4119980513605679,0.40830069079781456
281,all_en,yamnet,4096,0.5,adamax,1e-05,0.4123460226877305,0.4067343321191389
282,all_en,yamnet,4096,0.5,adam,0.001,0.41151089150254017,0.40694103525238423
283,all_en,yamnet,2048,0.2,adam,0.001,0.4178439696569003,0.4071038561224243
284,all_en,yamnet,4096,0.5,adam,1e-05,0.40719604704572343,0.3984124396702693
285,all_en,yamnet,2048,0.2,adamax,1e-05,0.4039947108358271,0.39916889214739265
286,all_en,yamnet,4096,0.0,adam,0.0001,0.4166608671445473,0.4039962142788401
287,all_en,yamnet,2048,0.0,adamax,1e-05,0.4041338993666922,0.39790188862108244
288,all_bn,vggish,2048,0.5,adam,1e-05,0.5232273838630807,0.5185024279142288
289,all_bn,vggish,2048,0.0,adamax,0.001,0.5179881243450926,0.5083265553504119
290,all_bn,vggish,1024,0.5,adamax,1e-05,0.5092560251484457,0.5040444102975309
291,all_bn,vggish,512,0.2,adamax,0.0001,0.5218302479916171,0.516639003950929
292,all_bn,vggish,512,0.5,adamax,0.0001,0.5232273838630807,0.5184058565498584
293,all_bn,vggish,1024,0.5,adamax,0.001,0.49318896262661543,0.47827048188363785
294,all_bn,vggish,1024,0.0,adam,0.001,0.5144952846664338,0.5119648399969419
295,all_bn,vggish,1024,0.5,adam,0.0001,0.5089067411805798,0.5037903708438304
296,all_bn,vggish,1024,0.5,adam,0.001,0.5068110373733845,0.5036981675596965
297,all_bn,vggish,1024,0.2,adamax,0.001,0.5064617534055187,0.4943643237257866
298,all_bn,vggish,1024,0.0,adamax,1e-05,0.511002444987775,0.507046545082839
299,all_bn,vggish,1024,0.0,adam,0.0001,0.5043660495983234,0.5030809496073725
300,all_bn,vggish,512,0.5,adamax,0.0001,0.5256723716381418,0.5240639007746805
301,all_bn,vggish,1024,0.0,adamax,1e-05,0.5029689137268599,0.4980866290469371
302,all_bn,vggish,512,0.2,adamax,1e-05,0.5068110373733845,0.5012851989523873
303,all_bn,vggish,1024,0.2,adamax,0.0001,0.5277680754453371,0.5273324780175814
304,all_bn,vggish,2048,0.0,adam,0.001,0.4767726161369193,0.47809614397547495
305,all_bn,vggish,2048,0.2,adamax,0.001,0.5120502968913727,0.5079243634397722
306,all_bn,vggish,512,0.0,adamax,0.001,0.5043660495983234,0.49306351266041953
307,all_bn,vggish,512,0.0,adam,0.0001,0.5235766678309466,0.5082174572270893
308,all_bn,vggish,2048,0.5,adamax,0.0001,0.5120502968913727,0.5089952201951556
309,all_bn,vggish,512,0.5,adam,1e-05,0.5235766678309466,0.5184633708663601
310,all_bn,yamnet,2048,0.2,adam,0.001,0.3893704850361197,0.3692450752645441
311,all_bn,yamnet,4096,0.0,adam,0.0001,0.38710010319917443,0.36566190070295573
312,all_bn,yamnet,4096,0.5,adam,1e-05,0.38864809081527346,0.38468284741369946
313,all_bn,yamnet,4096,0.5,adamax,0.001,0.3942208462332301,0.38519804036480493
314,all_bn,yamnet,4096,0.2,adamax,0.0001,0.3847265221878225,0.3785138275824495
315,all_bn,yamnet,4096,0.2,adamax,0.0001,0.3991744066047472,0.38962806347388224
316,all_bn,yamnet,2048,0.2,adamax,0.001,0.3931888544891641,0.3818697766752096
317,all_bn,yamnet,2048,0.2,adam,1e-05,0.39040247678018575,0.3710484279741658
318,all_bn,yamnet,2048,0.0,adamax,1e-05,0.3953560371517028,0.3856990707420449
319,all_bn,yamnet,4096,0.2,adam,0.0001,0.3914344685242518,0.37252008855603586
320,all_bn,yamnet,2048,0.5,adam,0.001,0.3934984520123839,0.37364085978658973
321,all_bn,yamnet,2048,0.5,adamax,0.0001,0.3863777089783282,0.3864222379538938
322,all_bn,yamnet,4096,0.2,adamax,0.001,0.3891640866873065,0.3712492430212002
323,all_bn,yamnet,4096,0.5,adam,0.0001,0.38421052631578945,0.35707048146154047
324,all_bn,yamnet,4096,0.2,adam,0.001,0.3764705882352941,0.35415474041643663
325,all_bn,yamnet,4096,0.5,adamax,1e-05,0.39442724458204337,0.38666649400383796
326,all_bn,yamnet,2048,0.2,adam,0.001,0.3816305469556244,0.37371543156913634
327,all_bn,yamnet,4096,0.0,adamax,0.0001,0.3830753353973168,0.3729972852176808
328,all,vggish,512,0.2,adamax,0.0001,0.4990825688073395,0.4956062223525812
329,all,vggish,1024,0.0,adam,1e-05,0.5007762879322513,0.49794558884146434
330,all,vggish,1024,0.5,adam,0.001,0.47974594213126326,0.4714174050124185
331,all,vggish,1024,0.0,adamax,0.001,0.4985179957657022,0.49978371440811503
332,all,vggish,2048,0.5,adam,0.001,0.4940014114326041,0.48083483135140104
333,all,vggish,1024,0.5,adamax,0.0001,0.5054340155257586,0.5011777727885474
334,all,vggish,1024,0.2,adamax,0.0001,0.5041637261820748,0.5002588428763017
335,all,vggish,1024,0.2,adam,0.001,0.49710656316160906,0.49351627349167065
336,all,vggish,512,0.2,adam,1e-05,0.5075511644318984,0.5030681662598236
337,all,vggish,1024,0.2,adam,1e-05,0.5038814396612562,0.49914269995116534
338,all,vggish,2048,0.2,adamax,1e-05,0.5010585744530699,0.4967824823605044
339,all,vggish,2048,0.0,adamax,0.0001,0.5052928722653494,0.49963397989798275
340,all,vggish,1024,0.2,adam,0.0001,0.5048694424841214,0.49440765166805695
341,all,vggish,1024,0.2,adamax,1e-05,0.49061397318278055,0.4852728882522821
342,all,vggish,1024,0.5,adam,0.0001,0.5086803105151729,0.5061122987605159
343,all,vggish,512,0.2,adamax,1e-05,0.4890613973182781,0.4841061355374615
344,all,vggish,512,0.0,adamax,0.001,0.5021877205363444,0.4976051113261843
345,all,vggish,2048,0.2,adam,0.0001,0.49992942836979537,0.4923964744241221
346,all,vggish,2048,0.2,adamax,0.0001,0.502470007057163,0.498286117287274
347,all,vggish,512,0.0,adam,0.001,0.48694424841213835,0.4753915439529032
348,all,vggish,2048,0.5,adam,0.001,0.49781227946365564,0.4851836677307513
349,all,vggish,1024,0.0,adam,0.0001,0.5037402964008468,0.49644408209866026
350,all,yamnet,2048,0.0,adam,0.0001,0.40039070618063927,0.393094600017546
351,all,yamnet,2048,0.5,adam,0.001,0.3966499023234548,0.38530695642932056
352,all,yamnet,4096,0.5,adam,0.001,0.38896047217257573,0.3776784273675622
353,all,yamnet,2048,0.5,adamax,0.001,0.3899164553805229,0.38097194775563753
354,all,yamnet,4096,0.0,adam,0.0001,0.3818113803566233,0.3705661256431018
355,all,yamnet,2048,0.2,adam,0.0001,0.397647450018704,0.39591723795115713
356,all,yamnet,4096,0.5,adamax,0.001,0.40022444823143105,0.39499036817559263
357,all,yamnet,4096,0.0,adamax,0.0001,0.3912880834614905,0.3840763946557674
358,all,yamnet,2048,0.0,adamax,0.001,0.3903736647408454,0.38090041195598445
359,all,yamnet,4096,0.0,adam,0.001,0.38970863294401265,0.3759949575518584
360,all,yamnet,2048,0.5,adamax,1e-05,0.3805228812502598,0.3754417337312053
361,all,yamnet,4096,0.2,adamax,0.0001,0.39307535641547864,0.3856671564406593
362,all,yamnet,4096,0.5,adamax,0.0001,0.3855937487011098,0.3710033713077606
363,all,yamnet,4096,0.2,adamax,0.001,0.402718317469554,0.39626486450393555
364,all,yamnet,4096,0.2,adamax,1e-05,0.3850118458788811,0.3803675686536001
365,all,yamnet,4096,0.2,adam,1e-05,0.38709007024398356,0.38382444776565255
366,all,yamnet,4096,0.5,adam,1e-05,0.38787979550272245,0.3831403165657907
367,all,yamnet,4096,0.5,adam,0.0001,0.3990606425869737,0.3936656175593255
